pid,ssn,name,address,zip,age,sex,weight,height,phone,dob,city,state
0917168365,10370146c0928f9c3cc591f090c3137f6a6e2a19bfdc7b8680f61b6b359132c2,Jessica Miller,"3071, Highland, Ave",87579,84,0,167,177,(263) 895-2201,1940-09-05,Chicago,IL
2960820837,577580b9b7e6eeff5ae3e7d02e6621aa1120e531f2ef43bef7608dade66cd3af,Patricia Davis,"6576, Chestnut, Dr",71871,105,1,163,144,(752) 647-6771,1919-09-11,Los Angeles,CA
3013071905,0203b2ca3ddf738476f0d759eef831c470ee289959dfe887382d8b33ac48ea00,Jennifer Gonzalez,"601, Pine, Ct",72005,85,1,262,173,(196) 709-5187,1939-09-06,San Antonio,TX
2488352628,9f45f1f6e023f7aebae630c671181e347e32bd894d051deeca86f7e210e33952,David Lopez,"9658, Broadway, Pl",60398,100,0,207,174,(422) 661-9740,1924-09-09,Dallas,TX
0645442525,0757f70e6d27b2372ad0a25f0f8a79f9476c5d9146af6d0fe9082e823f263a0c,John Lopez,"8359, Cedar, Ln",11070,96,1,131,166,(894) 180-4957,1928-09-08,Philadelphia,PA
1105352872,2c78f7d2c4be548b79b11966f63de5422f56204701a726905c6fc0d6116e6bd5,Charles Perez,"3824, Highland, Dr",29878,104,1,150,141,(316) 608-4030,1920-09-10,Houston,TX
2508150594,31685fb3297e1f555334fc444131f1fb274bf08f6731cda0ddd70dd4e533c48f,Lisa Johnson,"7868, Oak, Blvd",88439,91,0,162,176,(321) 599-4450,1933-09-07,Jacksonville,FL
8645967403,ea4e98a0fc2e07385f5676a009056b3a3462986e2557abf2d84e4e8891e80995,Charles Taylor,"1944, Elm, Pl",64635,87,0,211,172,(410) 245-8171,1937-09-06,Houston,TX
6705503880,8e0de1965437823c8adb43b3c4cb0ddf30b14d35c68397d086d525c15acbfa0b,Linda Moore,"3970, Pine, Rd",95993,105,1,213,135,(525) 459-8740,1919-09-11,Dallas,TX
3758750049,84ed39137de6c07ce32340d9733d753aeddb56521b44b19d0ef87b015b954c97,John Lopez,"5573, Elm, Blvd",37828,85,1,207,160,(676) 439-4761,1939-09-06,Chicago,IL
5669870433,1aed01c0f1537c06110c4bcc5d1b463e481c607d90d7b45cccddec7052e2e356,Sarah Rodriguez,"9829, Maple, Rd",95180,96,0,222,165,(408) 439-9893,1928-09-08,Phoenix,AZ
2274231265,a428ed5c4eea4dafe0af7639415c4f851a916dec12aa55d63ec570a033004f24,Sarah Miller,"8605, Walnut, Way",27778,103,1,134,154,(875) 900-3799,1921-09-10,Dallas,TX
9357099738,07855d992c889403204ae5e96125d537100abfe294932dd3b3012195ae6dfe76,Elizabeth Garcia,"4426, Jefferson, Ln",58504,105,1,161,181,(142) 104-6616,1919-09-11,Los Angeles,CA
7256882095,ed2c8cd2ff13322be0353143e359435b27c0645a586cfbb3db33736e3cac9a83,Lisa Taylor,"7195, Elm, Ct",19073,82,0,246,183,(616) 363-8025,1942-09-05,Los Angeles,CA
8861779943,5e63c4b67c3da12c438dabb84568eb9fab3587a6b03a988690f21c0f896de965,Lisa Lee,"5353, Pine, Blvd",45944,87,0,133,156,(376) 175-2658,1937-09-06,Dallas,TX
8275959295,cfaddb17a7baab4d2e68e0ceeee154a817028e3ea1eb5e7d39df7ffc685dfbc3,Mary Taylor,"7570, Park, Rd",61352,85,1,169,143,(468) 916-3277,1939-09-06,San Antonio,TX
1065613559,57a1e4a06d563f14b269ce862f9a83a20d3e67dd4dd39c155bf5db93b2806bfd,Charles Jackson,"8135, Elm, Ct",22607,88,0,241,184,(548) 402-1574,1936-09-06,Dallas,TX
4351094838,fc987667ed315396a91065cb9a29e30a56af844ca535a10d4512404e3322d3fe,Charles Moore,"2285, Maple, Ct",87734,86,1,202,188,(639) 102-5149,1938-09-06,Los Angeles,CA
9956667666,3163826068676ad61e5a2cd03c924cfac8950c688433c427a8d2a927fba64d51,Christopher Thompson,"4764, Sunset, St",74338,99,1,264,162,(514) 781-3389,1925-09-09,Chicago,IL
8734236809,6fdc47ce68b420994071d02eb6e2a6aba5212a0040e3c6dba6f4ac4b9630702f,Karen Perez,"584, Sunset, Pl",25840,105,1,276,145,(148) 621-6631,1919-09-11,San Diego,CA
0834339698,1a764ab5507e0bfcd3ea9b9e6d57096670cbb698854f93f81b3a8db35f096df4,Lisa Lee,"9219, Pine, Ct",17671,92,0,229,139,(491) 674-7807,1932-09-07,Philadelphia,PA
5511528682,814eaa103a3ccd9692deb88c423ee9e1abbc2e77f4058e5a00391845388cc1cc,Patricia Wilson,"9188, River, Rd",11420,87,0,169,149,(839) 722-6976,1937-09-06,Los Angeles,CA
0111903418,b41ebfd64b3a3842437291aec7f3d32e71e7f7aaf3e88ed2ebf85371ebe8e8da,Linda Taylor,"4924, Pine, Ave",62615,98,0,183,167,(581) 529-7200,1926-09-09,Chicago,IL
2355754941,b36af617125a6d3359914e5476fb361f69a193006cf81132077cd4bf7f09a378,Barbara Martin,"813, Cedar, Pl",44015,80,0,263,165,(638) 439-4589,1944-09-04,New York City,NY
3842393471,e4153de45a4d48ca79861e0b37721d3a9058440b66069ade6827ba51610a92bc,Nancy Hernandez,"6975, Pine, Ave",63693,81,1,143,197,(286) 443-6573,1943-09-05,Chicago,IL
3070118195,2a1e811ba4b65b3c6c1beb7240bdf4d6af54d5607eca3a06160dbbf0d24932c3,Sarah Rodriguez,"3213, Broadway, Ave",40014,83,0,263,192,(243) 797-6747,1941-09-05,Chicago,IL
1768664680,89b80ab6f6fc5e5850f560d8c37dd76e786f09ab863577d273a638352374a92e,Elizabeth Brown,"9534, River, Blvd",48737,102,0,277,149,(443) 364-7557,1922-09-10,New York City,NY
8213544424,63364a88c7ce67edb4ccf21b0e7247cdb551758a10315bafb2532be6b3cb2417,Susan Martin,"5236, Pine, Pl",95086,91,1,223,170,(910) 986-5152,1933-09-07,Dallas,TX
6497786657,81ea20f195ba954e066d2d53d259e126715745b15b04064c132dd4591c0b1154,Patricia Wilson,"7330, Jefferson, Blvd",84036,81,1,238,140,(124) 362-4942,1943-09-05,Austin,TX
9420140995,264afaeea8237fd5b39f2fd1699de3196b9a790664307ca86fafa94bd4707d13,David Thomas,"6495, Walnut, Pl",70391,90,1,256,163,(775) 860-3587,1934-09-07,Jacksonville,FL
4528590478,55ecde2d43599cc5930d2b6823ada24d4403c375907f13dd5aef002f2b189973,Christopher Williams,"8225, Washington, Ct",77734,96,0,190,140,(477) 668-7813,1928-09-08,Chicago,IL
7315646478,dcb74f08acc4ec54efb1f882b9e0e10734b2e1df7dc522003ca904e7d599503b,Barbara Williams,"2893, River, Ln",35140,83,1,253,173,(261) 461-2808,1941-09-05,Phoenix,AZ
5982802667,039a23e35dc3530735c4081b0efa8d09b3ef72fdd7744843e4c945e09522c544,Jessica Rodriguez,"2713, Park, Way",42895,99,1,152,194,(145) 977-2962,1925-09-09,Philadelphia,PA
7802201594,9d7fdb8fef24b3287b5f6c5133d5f9f43cd15c35a56f8f45bce76a25e480ad90,Nancy Williams,"1580, Spruce, Rd",54492,84,0,195,171,(870) 488-5132,1940-09-05,Phoenix,AZ
8361069365,cba9eabb73064d303ed3cbbff325c85f85c100b753bb8281af7b1b135074e6af,Linda Lopez,"8905, Chestnut, Rd",96406,84,0,218,189,(210) 203-6794,1940-09-05,New York City,NY
2266940928,83a5cf1d8374f526a47f7c71c117034cd1dacf544894e368e5dba90453798c83,Thomas Johnson,"4743, Sunset, Ln",72520,101,1,247,156,(265) 907-1399,1923-09-10,Philadelphia,PA
8606953035,35723f1f03469e048c7cfe0ee1fbad90860db70cca452c17e9903bbc30678560,Jennifer Jackson,"3728, Lake, Dr",88196,95,0,164,152,(196) 689-6152,1929-09-08,Jacksonville,FL
3408954354,001d827816f990174707e85317e08b4429e02c92c8b006b205b94f2845944b05,Richard Brown,"2808, Sunset, Way",67488,92,1,172,190,(635) 160-1595,1932-09-07,Philadelphia,PA
1719905984,ea2a6dfcf851300eafb74d611fc7ea4d2697837f63b4467bd870d9f10acf5e2f,Christopher Johnson,"7654, Chestnut, St",66267,103,1,179,149,(341) 882-6934,1921-09-10,Dallas,TX
6382810540,86e892836b71b18c92f3cf43e31198e7e6ed1a6f3c07259eaed7995601871862,Jessica Taylor,"4190, Oak, Ave",81091,95,1,203,152,(863) 904-5101,1929-09-08,San Diego,CA
0505914080,8a22ced4dd129592544418f153b6249599771b6fa0357939fc16257ff0271259,Lisa Anderson,"6042, Park, Blvd",33328,80,1,261,142,(813) 718-7223,1944-09-04,Philadelphia,PA
2238132446,95d7812c2e17185afa574723433b659135baded81c8fc8dfcce17e67f5153f6d,Nancy Jones,"1641, Elm, Rd",56266,81,0,269,157,(756) 197-4915,1943-09-05,San Jose,CA
6506080894,e460dd53f25a97d558d78cfa0b344de0668887d86bd8a41715bc20331411bddb,Joseph Anderson,"417, Elm, Ln",49415,97,0,182,193,(383) 490-9697,1927-09-09,San Antonio,TX
8556453567,34eceffc52f1752e5807801a439487489fb14a2a2ad550203102be0837f599da,Karen Garcia,"1480, Cedar, St",70853,105,0,194,189,(466) 531-6069,1919-09-11,Dallas,TX
7814659688,3b65c2722d708cd9264df9e9247d48e7c7b5850f0aeb02d1c47fd29192a55cdc,David Anderson,"5368, Highland, Ct",40011,105,0,159,162,(742) 468-4890,1919-09-11,Philadelphia,PA
7388411394,7abd75be49c3052be240de308af536c3b8cf2b911ba337856027c4f78b69a80c,Sarah Johnson,"320, Oak, Ln",93266,97,1,134,159,(482) 600-1489,1927-09-09,San Diego,CA
2664467182,5f4ea4fdd4e9ae9b07c0a879a2a79a84e0fd9a3bec4ac439559f6c13f3e52b6d,Sarah Smith,"8986, Sunset, Way",42853,101,0,140,182,(297) 858-3141,1923-09-10,San Diego,CA
0077533543,ba932ba81cdabc4be8cb154259cf9e51fd97123cdcd4ed3c386e98d2ef1c4eb5,Nancy Rodriguez,"8085, Highland, Blvd",92803,101,1,161,174,(551) 739-4703,1923-09-10,San Antonio,TX
1810075916,74bcb79f9ed4767bde9ad7546607ad6fda8db37dcb9569e0853eccfcbc9c7258,Charles Davis,"7453, Sunset, Ln",30253,101,0,224,199,(695) 897-5660,1923-09-10,Houston,TX
8428409901,006676ceda2e791619e372edc24e5a8ef9be77cbd2a2ba4d82ce24c5dcb4aa81,James Garcia,"161, Highland, Dr",44475,85,0,218,196,(395) 457-2496,1939-09-06,San Antonio,TX
3804550751,abfb0e2ac0f8d598882480b73f3a8b2328d5af9522fdf1dbfc1329a492b570c0,Barbara Perez,"6458, Cedar, Rd",10460,86,0,239,198,(537) 371-1524,1938-09-06,San Jose,CA
2295064347,295477ba89c5d5c5fd160c1189f68a5d7ab986a7d95072561e1167d6f0362c25,Robert Jackson,"2031, Lake, Ct",31682,103,1,270,149,(153) 379-2808,1921-09-10,San Jose,CA
1865915001,c6516664eb6b5275efe615f3e340e18ff1fbb5d07f480e6a4f09ce1a9f8ea38e,Patricia Miller,"2667, Adams, Way",34212,90,0,200,156,(725) 626-6641,1934-09-07,Phoenix,AZ
0376983057,65f0a6891d658ff9b29d2771eae73f74c44454ec2e1a50173e9c0b75e5b09a76,Jessica Johnson,"5921, Sunset, Pl",96893,85,0,143,172,(618) 798-7732,1939-09-06,Houston,TX
5999301002,26f9baf1c1c547c7b4f2cd94ac2b86b81c8124f257d2e7bf80525255a270a966,Thomas Wilson,"9663, Maple, Ln",33533,85,0,205,174,(809) 978-7616,1939-09-06,San Jose,CA
9649644922,cbba687b6b4a72d13372ce6ef0a2879e7c9910a7ec313f192237f5da9a669132,Charles Taylor,"7994, Pine, Pl",19271,102,0,239,139,(135) 637-5787,1922-09-10,San Antonio,TX
1644428896,f849e7093f90e9190cc79ca221a84c7b00f3dd326243da4720fcc5013afdb91c,John Thomas,"6669, Chestnut, Blvd",13407,95,0,237,173,(663) 450-4655,1929-09-08,Philadelphia,PA
2720019608,246bd20e4c1f104fee05df3b9b9d1a7a9a16a8460aa244c5bfc2f7cfc6ac3ea2,Karen Hernandez,"7378, Washington, St",68725,104,1,203,197,(756) 184-6748,1920-09-10,Houston,TX
6138839571,d541783483828fb6a5b39a9b30d98d7035d1f70737b717e3dada9b42e662d6f4,Patricia Moore,"7905, Walnut, St",35565,104,1,213,152,(790) 134-6815,1920-09-10,Dallas,TX
4746682639,ab472ea8d68e2256e4008a64b5486b3cb2bba538b23e486e828b450259a7b050,Elizabeth Wilson,"174, Spruce, Ave",44526,91,0,174,162,(354) 209-8614,1933-09-07,Philadelphia,PA
7032637803,6ff9908d22900bb9526cf97a7ca38e425694146471241af964e91cf9cbefe2d7,Karen Garcia,"6682, Adams, Ln",31602,97,0,165,180,(581) 535-8042,1927-09-09,San Jose,CA
3230433771,d50dbd9a43ef061511f20e886a14ccfc23d15684ad35075510f7b89e4ad00012,Michael Taylor,"4095, Elm, St",32179,80,1,227,152,(638) 709-8447,1944-09-04,Phoenix,AZ
5084139839,9629d0d2c15b0468e322158ae17b00f3448e9ea8aecede09b3354c9f3853dcbd,James Garcia,"784, Pine, Ln",39879,104,1,237,164,(604) 932-9887,1920-09-10,Philadelphia,PA
9459840139,f0398d2439f6bce545b96e63f9d5756bd8295880e867fdd4d5241169c41aafa4,Richard Thompson,"5786, River, Dr",67680,99,0,237,176,(215) 872-3596,1925-09-09,Philadelphia,PA
3994558469,70e756dc31d7364b86df5eb4e418489b1ffc66791b2913d1a52944a55b348c9f,Karen Davis,"6451, Lake, Dr",26807,94,1,146,142,(569) 358-3270,1930-09-08,Los Angeles,CA
4503445859,2acf526a7ff676be877d0d476262e17c7b589ab7629811eeec47f4e02c5a0868,William Taylor,"1548, Sunset, Ln",90927,90,0,225,145,(471) 359-3972,1934-09-07,San Jose,CA
5939408312,4b36f20544f0b6739b03a03faf156869905e690ddb3e4b20da92fdb659d4af8e,Susan Lopez,"7933, Elm, Ln",87773,105,1,134,171,(275) 429-6579,1919-09-11,Chicago,IL
2817030818,429354724376637069e614f2b2ba5d9c80548cc35f467be1ccd206d816342e6e,Susan Gonzalez,"7555, Park, Blvd",69602,81,0,215,141,(629) 138-2417,1943-09-05,Phoenix,AZ
5852507484,9f3bf88426ac1216cae3e10ba183022926a4285882fd498d6ead107acd33da62,Charles Hernandez,"5880, River, Pl",26423,81,1,145,160,(402) 692-7132,1943-09-05,San Antonio,TX
4311707132,977d69a673cdb1aa1e11748d670f9047af88c3e4cd9c9669dc76fcdaf53caed0,William Smith,"859, Walnut, Ave",74703,91,0,211,150,(176) 816-6688,1933-09-07,Jacksonville,FL
8410696545,c151a7a08642bf648af8be1eb59fc86802b809da13dee064e3ffde214573462b,Lisa Taylor,"2041, Chestnut, Pl",34679,92,0,129,139,(836) 794-9586,1932-09-07,Philadelphia,PA
1421021298,a5ea1f602fa31b8b4ddc50b2aab97f8921024c7e22003eea5b2f22294689da33,Barbara Lopez,"7133, Spruce, Blvd",61509,91,1,170,181,(907) 693-3090,1933-09-07,Phoenix,AZ
6193216908,c7d9a1e7f0ed791d230cc2322c11a458a5c7e417c5971507d322e1c0e0318522,Thomas Davis,"2861, Maple, Ct",53930,96,1,273,198,(341) 325-9150,1928-09-08,Dallas,TX
0930233751,1dbba4391fc2e740aeada2a3d406ad70c6e4fc456f22314537c60045bc11fa89,Susan Hernandez,"8038, Elm, St",50346,96,1,220,176,(938) 404-3760,1928-09-08,Los Angeles,CA
1253676560,3645606759b110cc4a9b66e2010ac03955170b8debde3e468ef208f19b293b6e,Patricia Perez,"4570, River, Ct",77084,84,1,245,144,(679) 969-8023,1940-09-05,Chicago,IL
7259539098,5b5ab09aab072ab4d4389494248d26b3996bfd0014ef6be769d672ccc8e22330,Richard Martin,"3735, Sunset, Rd",71345,94,0,178,188,(406) 126-4395,1930-09-08,Los Angeles,CA
6587774283,522766624ee6298c4c5a0bfc39c0d2c46a3bcf9128fcaa33bfec0858ce75417d,David Hernandez,"1247, Jefferson, Ct",77689,85,1,200,182,(495) 719-5410,1939-09-06,San Antonio,TX
4608577428,8fcd8b347492f7861a648959567cf231f2cf7eaae9be1055a121e74ce58e83b5,William Taylor,"425, Washington, Way",22346,97,0,150,170,(699) 615-7921,1927-09-09,Houston,TX
0406720218,b11de952f68bb49ae5da9335c4a16dec450236c89f7ec5d01742309804bccab1,John Smith,"4987, Hill, Pl",76519,103,1,232,157,(553) 127-5422,1921-09-10,San Antonio,TX
9736147042,d8969219504f21a28d92288ac84afcd82a4b42687cb5df34636eb7556fc6b999,Mary Johnson,"8517, Chestnut, Ln",99333,104,0,155,175,(706) 202-8628,1920-09-10,San Jose,CA
2825600419,74aaa46b961440e0f64d5affa6ffdf2ecd75655c1ae92ca88f64d3f7b4ab61cf,Nancy Hernandez,"2929, Highland, Ave",64206,81,0,240,166,(483) 565-3855,1943-09-05,Chicago,IL
2699920049,ff266aa6adfa47b9c998a2184dfc860a07aab19fb898a5b193414f05eb59c8a4,Sarah Moore,"8452, Hill, Way",70788,100,0,166,144,(987) 721-5068,1924-09-09,Austin,TX
8243531582,33a4aaf51bf865a45c1da8b4efa68eb94bbf30b7016780cb5cde24a77d6f4ecf,Elizabeth Gonzalez,"8025, Spruce, Ave",23688,83,1,178,181,(677) 248-1501,1941-09-05,San Jose,CA
9480470295,240ccdf1d4ae7a991d4f0763a3c5e81d143cc32861d11298767e3a9113e32eb2,David Lee,"4075, Oak, Rd",12977,94,1,176,185,(440) 596-6419,1930-09-08,Phoenix,AZ
1192975450,ff8743bd34c2928f1b0d15d7c686420a4e24c6cdaab44a42c9fdf2b5dfad902b,Lisa Thomas,"8025, Washington, Rd",51982,88,1,138,155,(123) 663-2152,1936-09-06,Austin,TX
3909559887,7b690581bc16ecd32fc389e83373d7b42ba45612b68a4d508df3a57be4210105,Elizabeth Lee,"8502, Pine, Ave",44768,84,1,125,150,(978) 275-1127,1940-09-05,San Antonio,TX
0892629622,fbf054417b8701c2dfd383dea0a0891bc6b2dae78de88b4ba3ce7008c01387f3,Richard Brown,"4651, Lake, Blvd",21169,91,0,262,147,(719) 474-3149,1933-09-07,San Jose,CA
6405109487,393b3c78aa7100f334b8a15dac8fa5c52d2d07918d384b2baaf0bff81edef2c7,Linda Lopez,"1447, Elm, Dr",68237,105,1,131,159,(943) 611-7682,1919-09-11,San Jose,CA
7509812275,584453755b2c20f4bead385d8c89bef15e7e310fab5a5b6b60ddd3131bce6c77,Jessica Smith,"3113, Highland, Ct",11401,100,0,130,187,(778) 227-4134,1924-09-09,San Diego,CA
5418282672,bb9879328f342c8197083e88e56f6e00ff78d8345864c576937551faccab8028,Jessica Perez,"2080, Cedar, Rd",38228,105,0,268,165,(778) 601-2105,1919-09-11,Phoenix,AZ
